Población total por condición de actividad y tasas.
Número de personas y porcentajes por trimestre.


;;;;;;Tasas de la población de 15 años o más;Tasas de la población de 15 años o más;Tasas de la fuerza de trabajo;Tasas de la fuerza de trabajo
Fecha;Población Total (PT);Población Total de 15 años o más;Fuerza de trabajo (FT);Ocupados (PO);Población que busca trabajo (desocupado);Tasa neta de participación (FT/PT 15 años o más);Tasa de ocupación (PO/PT 15 años o más);Tasa de desempleo abierto;Tasa de subempleo
2022-03-31;5,192,543.00000000;4,080,958.00000000;2,432,303.00000000;2,102,076.00000000;330,227.00000000;59.60127499;51.50937598;13.57672132;11.47565549
2022-06-30;5,205,148.00000000;4,093,794.00000000;2,438,788.00000000;2,153,988.00000000;284,800.00000000;59.57280703;52.61593524;11.67793183;9.48770374
2022-09-30;5,218,374.00000000;4,107,617.00000000;2,484,855.00000000;2,187,884.00000000;296,971.00000000;60.49383377;53.26407014;11.95124062;9.68671100
2022-12-31;5,229,297.00000000;4,119,368.00000000;2,460,146.00000000;2,173,061.00000000;287,085.00000000;59.72144271;52.75229113;11.66942938;9.68458778
2023-03-31;5,241,752.00000000;4,134,581.00000000;2,346,882.00000000;2,098,103.00000000;248,779.00000000;56.76226926;50.74523876;10.60040513;7.04574561
2023-06-30;5,254,497.00000000;4,147,072.00000000;2,346,508.00000000;2,121,609.00000000;224,899.00000000;56.58228263;51.15920341;9.58441224;6.46476330
2023-09-30;5,265,954.00000000;4,159,396.00000000;2,260,412.00000000;2,077,742.00000000;182,670.00000000;54.34471736;49.95297394;8.08127014;5.13263918
2023-12-31;5,278,110.00000000;4,172,856.00000000;2,245,784.00000000;2,081,900.00000000;163,884.00000000;53.81887130;49.89148919;7.29740705;4.19208415
2024-03-31;5,290,340.00000000;4,186,521.00000000;2,340,538.00000000;2,157,570.00000000;182,968.00000000;55.90651522;51.53610838;7.81734798;3.03090977
2024-06-30;5,302,069.00000000;4,199,833.00000000;2,358,600.00000000;2,157,476.00000000;201,124.00000000;56.15937586;51.37051878;8.52726194;3.71095669
2024-09-30;5,313,792.00000000;4,213,264.00000000;2,414,442.00000000;2,255,397.00000000;159,045.00000000;57.30573731;53.53087298;6.58723631;3.91766948
2024-12-31;5,325,109.00000000;4,225,920.00000000;2,396,172.00000000;2,231,365.00000000;164,807.00000000;56.70178328;52.80187509;6.87792863;3.04956831
2025-03-31;5,337,379.00000000;4,239,190.00000000;2,389,896.00000000;2,211,416.00000000;178,480.00000000;56.37624169;52.16600341;7.46810740;3.14124525
2025-06-30;5,347,560.00000000;4,251,039.00000000;2,326,078.00000000;2,153,487.00000000;172,591.00000000;54.71787015;50.65789799;7.41982857;3.13802684
2025-09-30;5,359,946.00000000;4,264,249.00000000;2,341,029.00000000;2,206,569.00000000;134,460.00000000;54.89897518;51.74578220;5.74362812;2.75731237
2025-12-31;5,370,133.00000000;4,275,169.00000000;2,330,926.00000000;2,183,473.00000000;147,453.00000000;54.52242941;51.07337277;6.32594085;2.82055240
2026-03-31;5,381,318.00000000;4,286,423.00000000;2,319,281.00000000;2,155,040.00000000;164,241.00000000;54.10760907;50.27595270;7.08154812;3.25144777
